<CdSiteHydro>;<CdStationHydro>;<TypDeGrdSerieObsElaborHydro>;<PDTSerieObsElaborHydro>;<DtObsElaborHydro>;<StObsElaborHydro>;<ResObsElaborHydro>;<QualifObsElaborHydro>;<MethObsElaborHydro>;<ContObsElaborHydro>;<FLG>
"Code du site hydrométrique";"Code de la station hydrométrique";"Type de grandeur de la série d'observations élaborées hydrométriques";"Pas de temps de la série d'observations élaborées hydrométriques";"Date d'observation élaborée hydrométrique";"Statut de l'observation élaborée hydrométrique";"Résultat de l'observation élaborée hydrométrique";"Qualification de l'observation élaborée hydrométrique";"Méthode d'obtention du résultat de l'observation élaborée hydrométrique";"Continuité de la donnée de l'observation élaborée hydrométrique";<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-14 00:00:00";16;224000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-15 00:00:00";16;208000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-16 00:00:00";16;191000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-17 00:00:00";16;193000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-18 00:00:00";16;195000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-19 00:00:00";16;221000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-20 00:00:00";16;226000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-21 00:00:00";16;207000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-22 00:00:00";16;179000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-23 00:00:00";16;199000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-24 00:00:00";16;200000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-25 00:00:00";16;234000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-26 00:00:00";16;192000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-27 00:00:00";16;163000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-28 00:00:00";16;157000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-29 00:00:00";16;150000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-06-30 00:00:00";16;136000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-01 00:00:00";16;129000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-02 00:00:00";16;124000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-03 00:00:00";16;118000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-04 00:00:00";16;111000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-05 00:00:00";16;107000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-06 00:00:00";16;106000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-07 00:00:00";16;128000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-08 00:00:00";16;173000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-09 00:00:00";16;134000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-10 00:00:00";16;108000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-11 00:00:00";16;105000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-12 00:00:00";16;116000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-13 00:00:00";16;105000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-14 00:00:00";16;98700;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-15 00:00:00";16;101000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-16 00:00:00";16;94000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-17 00:00:00";16;86500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-18 00:00:00";16;85000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-19 00:00:00";16;89500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-20 00:00:00";16;95500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-21 00:00:00";16;89500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-22 00:00:00";16;82000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-23 00:00:00";16;77500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-24 00:00:00";16;71500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-25 00:00:00";16;67000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-26 00:00:00";16;68500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-27 00:00:00";16;67000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-28 00:00:00";16;64200;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-29 00:00:00";16;62800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-30 00:00:00";16;62800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-07-31 00:00:00";16;61400;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-01 00:00:00";16;99100;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-02 00:00:00";16;78200;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-03 00:00:00";16;68500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-04 00:00:00";16;63500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-05 00:00:00";16;121000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-06 00:00:00";16;132000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-07 00:00:00";16;91600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-08 00:00:00";16;86500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-09 00:00:00";16;80100;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-10 00:00:00";16;73700;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-11 00:00:00";16;70000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-12 00:00:00";16;70700;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-13 00:00:00";16;70700;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-14 00:00:00";16;67700;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-15 00:00:00";16;67700;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-16 00:00:00";16;64200;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-17 00:00:00";16;60700;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-18 00:00:00";16;63200;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-19 00:00:00";16;82600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-20 00:00:00";16;71500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-21 00:00:00";16;64900;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-22 00:00:00";16;61900;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-23 00:00:00";16;60000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-24 00:00:00";16;59300;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-25 00:00:00";16;58600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-26 00:00:00";16;55900;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-27 00:00:00";16;55100;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-28 00:00:00";16;59300;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-29 00:00:00";16;55800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-30 00:00:00";16;48000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-08-31 00:00:00";16;46000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-01 00:00:00";16;47800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-02 00:00:00";16;45900;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-03 00:00:00";16;45200;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-04 00:00:00";16;46500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-05 00:00:00";16;51700;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-06 00:00:00";16;49800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-07 00:00:00";16;46000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-08 00:00:00";16;43600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-09 00:00:00";16;42600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-10 00:00:00";16;41300;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-11 00:00:00";16;40700;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-12 00:00:00";16;40000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-13 00:00:00";16;39700;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-14 00:00:00";16;39400;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-15 00:00:00";16;57500;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-16 00:00:00";16;272000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-17 00:00:00";16;215000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-18 00:00:00";16;122000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-09-19 00:00:00";16;107000;20;10;0;<FLG>
